List,ListID,Content,ListNo,WordID,Sound1,Sound2,type,ExpAns
PBK,List 2,fair,37,87,FAS_K7M-PBKW-02-37.wav,FAS_K9M-PBKW-02-37.wav,KK,j
PBK,List 2,sack,38,88,FAS_K7M-PBKW-02-38.wav,FAS_K9M-PBKW-02-38.wav,KK,j
PBK,List 2,got,39,89,FAS_K7M-PBKW-02-39.wav,FAS_K9M-PBKW-02-39.wav,KK,j
PBK,List 2,as,40,90,FAS_K7M-PBKW-02-40.wav,FAS_K9M-PBKW-02-40.wav,KK,j
PBK,List 2,grew,41,91,FAS_K7M-PBKW-02-41.wav,FAS_K9M-PBKW-02-41.wav,KK,j
PBK,List 2,knee,42,92,FAS_K7M-PBKW-02-42.wav,FAS_K9M-PBKW-02-42.wav,KK,j
PBK,List 2,fresh,43,93,FAS_K7M-PBKW-02-43.wav,FAS_K9M-PBKW-02-43.wav,KK,j
PBK,List 2,tray,44,94,FAS_K7M-PBKW-02-44.wav,FAS_K9M-PBKW-02-44.wav,KK,j
PBK,List 2,cat,45,95,FAS_K7M-PBKW-02-45.wav,FAS_K9M-PBKW-02-45.wav,KK,j
PBK,List 2,on,46,96,FAS_K7M-PBKW-02-46.wav,FAS_K9M-PBKW-02-46.wav,KK,j
PBK,List 2,camp,47,97,FAS_E1M-PBKW-02-47.wav,FAS_M1M-PBKW-02-47.wav,EM,f
PBK,List 2,find,48,98,FAS_E1M-PBKW-02-48.wav,FAS_M1M-PBKW-02-48.wav,EM,f
PBK,List 2,yes,49,99,FAS_E1M-PBKW-02-49.wav,FAS_M1M-PBKW-02-49.wav,EM,f
PBK,List 2,loud,50,100,FAS_E1M-PBKW-02-50.wav,FAS_M1M-PBKW-02-50.wav,EM,f
LNT,List 1,juice,1,101,FAS_E1M-LNTW-01-01.wav,FAS_M6M-LNTW-01-01.wav,EM,f
LNT,List 1,good,2,102,FAS_E1M-LNTW-01-02.wav,FAS_M6M-LNTW-01-02.wav,EM,f
LNT,List 1,drive,3,103,FAS_E1M-LNTW-01-03.wav,FAS_M6M-LNTW-01-03.wav,EM,f
LNT,List 1,time,4,104,FAS_E1M-LNTW-01-04.wav,FAS_M6M-LNTW-01-04.wav,EM,f
LNT,List 1,hard,5,105,FAS_E5M-LNTW-01-05.wav,FAS_M1M-LNTW-01-05.wav,EM,f
PBK,List 3,purse,3,106,FAS_E5M-PBKW-03-03.wav,FAS_M1M-PBKW-03-03.wav,EM,f
LNT,List 1,foot,7,107,FAS_E5M-LNTW-01-07.wav,FAS_M1M-LNTW-01-07.wav,EM,f
LNT,List 1,orange,8,108,FAS_E5M-LNTW-01-08.wav,FAS_M1M-LNTW-01-08.wav,EM,f
LNT,List 1,count,9,109,FAS_E5M-LNTW-01-09.wav,FAS_M6M-LNTW-01-09.wav,EM,f
LNT,List 1,brown,10,110,FAS_E5M-LNTW-01-10.wav,FAS_M6M-LNTW-01-10.wav,EM,f
LNT,List 1,home,11,111,FAS_E5M-LNTW-01-11.wav,FAS_M6M-LNTW-01-11.wav,EM,f
LNT,List 1,old,12,112,FAS_E5M-LNTW-01-12.wav,FAS_M6M-LNTW-01-12.wav,EM,f
LNT,List 1,watch,13,113,FAS_E1M-LNTW-01-13.wav,FAS_J1M-LNTW-01-13.wav,EJ,f
PBK,List 3,bug,6,114,FAS_E1M-PBKW-03-06.wav,FAS_J1M-PBKW-03-06.wav,EJ,f
